연번,검사년도,검사월,수도사업자,정수장명,수원종류,수질검사기관,일반세균,총대장균군,납,불소,비소,셀레늄,수은,시안,크롬,암모니아성질소,질산성질소,카드뮴,페놀,총트리할로메탄,다이아지논,파라티온,1_2-디브로모-3-클로로프로판,페니트로티온,카바릴,1_1_1-트리클로로에탄,테트라클로로에틸렌,트리클로로에틸렌,디클로로메탄,벤젠,톨루엔,에틸벤젠,크실렌,1_1-디클로로에틸렌,사염화탄소,경도,과망간산칼륨소비량,냄새,맛,동,색도,세제,수소이온농도,아연,염소이온,증발잔류물,철,망간,탁도,황산이온,알루미늄,잔류염소,붕소,클로로포름,대장균-분원성대장균군,클로랄하이드레이트,디브로모아세토니트릴,디클로로아세토니트릴,트리클로로아세토니트릴,할로아세틱에시드,브로모디클로로메탄,디브로모클로로메탄,1_4-다이옥산,포름알데히드,브롬산염,우라늄
16,2019,1,인천광역시,부평,하천수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,2.2,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2.1,적합,적합,0,0,0,7.4,0,23.6,122,0,0,0.06,16,0,0.72,0.01,0.004,불검출,0,0,0,0,0.005,0.004,0,0,0,0.0006,
17,2019,1,인천광역시,수산,하천수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.9,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2.8,적합,적합,0,0,0,7.5,0,18.4,121,0,0,0.06,13,0.02,0.83,0,0.004,불검출,0.0011,0,0.0012,0,0.012,0.004,0,0,0,0,
18,2019,1,광주광역시,각화,호소수,광주시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.4,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1.4,적합,적합,0,1,0,6.8,0.007,9.6,46,0,0,0.05,5,0,0.64,0,0.024,불검출,0,0,0.0027,0,0.004,0.006,0,0,0,0,
19,2019,1,광주광역시,덕남,호소수,광주시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.3,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.3,적합,적합,0,1,0,6.9,0,8.8,46,0,0,0.05,4,0,0.61,0,0.024,불검출,0,0,0.0025,0,0.007,0.006,0,0,0,0,
20,2019,1,광주광역시,용연,호소수,광주시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.4,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.5,적합,적합,0,1,0,6.8,0,8.8,49,0,0,0.05,4,0,0.7,0,0.017,불검출,0,0,0.0022,0,0.004,0.005,0,0,0,0,
21,2019,1,대전광역시,송촌,호소수,대전시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2.2,적합,적합,0,1,0,7.1,0,16,85,0,0,0.08,10,0,0.74,0,0.025,불검출,0.0033,0,0.0036,0,0.021,0.005,0.001,0,0,0,
22,2019,1,대전광역시,신탄진,하천수,대전시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2.2,적합,적합,0,0,0,7,0.005,15,84,0,0,0.04,11,0,0.51,0,0.039,불검출,0.0049,0,0.0047,0,0.033,0.007,0.001,0,0,0,
23,2019,1,대전광역시,월평,호소수,대전시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2.3,적합,적합,0,1,0,7.1,0,15,81,0,0,0.08,10,0,0.55,0,0.028,불검출,0.003,0,0.0034,0,0.022,0.006,0.001,0,0,0,
24,2019,1,울산광역시,천상,호소수,울산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.6,적합,적합,0,0,0,7.1,0,18,87,0,0,0.06,10,0,0.47,0.01,0.009,불검출,0.0026,0.0018,0.0011,0,0.004,0.008,0.004,0,0,0,
25,2019,1,울산광역시,회야,호소수,울산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.3,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2,적합,적합,0,0,0,7.1,0.01,37,232,0,0,0.06,65,0,0.39,0.04,0.002,불검출,0.001,0.0039,0.0008,0,0.01,0.005,0.011,0,0,0.001,
