연번,검사년도,검사월,수도사업자,정수장명,수원종류,수질검사기관,일반세균,총대장균군,납,불소,비소,셀레늄,수은,시안,크롬,암모니아성질소,질산성질소,카드뮴,페놀,총트리할로메탄,다이아지논,파라티온,1_2-디브로모-3-클로로프로판,페니트로티온,카바릴,1_1_1-트리클로로에탄,테트라클로로에틸렌,트리클로로에틸렌,디클로로메탄,벤젠,톨루엔,에틸벤젠,크실렌,1_1-디클로로에틸렌,사염화탄소,경도,과망간산칼륨소비량,냄새,맛,동,색도,세제,수소이온농도,아연,염소이온,증발잔류물,철,망간,탁도,황산이온,알루미늄,잔류염소,붕소,클로로포름,대장균-분원성대장균군,클로랄하이드레이트,디브로모아세토니트릴,디클로로아세토니트릴,트리클로로아세토니트릴,할로아세틱에시드,브로모디클로로메탄,디브로모클로로메탄,1_4-다이옥산,포름알데히드,브롬산염,우라늄
2673,2019,6,수자원공사,반월,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1.5,적합,적합,0,0,0,7.1,0,14.6,109,0,0,0.05,13,0,0.73,0.02,0.009,불검출,0,0,0,0,0,0.005,0,0,0,0,
2674,2019,6,수자원공사,별량,하천수,한국수자원공사 영섬유역본부,0,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2.4,적합,적합,0,0,0,6.7,0.007,7,44,0,0,0.03,5,0,0.86,0,0.015,불검출,0.0021,0,0.0014,0,0.009,0.004,0,0,0,0,
2675,2019,6,수자원공사,보령,호소수,한국수자원공사 충북지역협력단,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.1,적합,적합,0,0,0,7.3,0,11.9,76,0,0,0.06,11,0,0.85,0.01,0.01,불검출,0.0032,0,0.0015,0,0.024,0.006,0,0,0,0,
2676,2019,6,수자원공사,부안,호소수,한국수자원공사 금강유역본부,0,불검출,0,0,0,0,0,0,0,0,0.7,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.7,적합,적합,0,0,0,6.8,0.002,12.6,28,0,0,0.05,6,0,0.76,0,0.015,불검출,0.005,0.0005,0.0016,0,0.025,0.008,0.003,0,0,0.0012,
2677,2019,6,수자원공사,사천,호소수,한국수자원공사 부산울산경남지역협력본부,0,불검출,0,0,0,0,0,0,0,0,0.7,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.3,적합,적합,0,0,0,7,0,8.7,178,0,0,0.05,5,0,0.81,0,0.033,불검출,0.0151,0,0.0054,0,0.03,0.005,0,0,0,0,
2678,2019,6,수자원공사,산성,하천수,한국수자원공사 금강유역본부,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2.4,적합,적합,0,0,0,7,0.003,14.4,62,0,0,0.05,9,0,0.92,0.01,0.025,불검출,0.0044,0,0.0027,0,0.025,0.008,0,0,0,0.0011,
2679,2019,6,수자원공사,석성,하천수,한국수자원공사 충북지역협력단,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2.5,적합,적합,0,0,0,7,0,14.5,92,0,0,0.05,11,0,0.8,0,0.013,불검출,0.002,0,0.0015,0,0.019,0.004,0,0,0,0,
2680,2019,6,수자원공사,성남,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1.6,적합,적합,0,0,0,7,0,14.9,115,0,0,0.04,13,0,0.71,0.02,0.023,불검출,0.0018,0,0.0007,0,0.005,0.01,0.003,0,0,0,
2681,2019,6,수자원공사,송전,호소수,한국수자원공사 강원지역본부,0,불검출,0,0,0,0,0,0,0,0,1.6,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2.2,적합,적합,0,0,0,7.3,0,10.6,94,0,0,0.03,7,0,0.72,0,0.014,불검출,0.0012,0,0.001,0,0.013,0,0,0,0,0,
2682,2019,6,수자원공사,수지,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1.7,적합,적합,0,0,0,7.1,0,18.5,143,0,0,0.03,15,0,0.55,0.02,0.013,불검출,0.0006,0,0,0,0.004,0.007,0,0,0,0,
2683,2019,6,수자원공사,시흥(생활),호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1.8,적합,적합,0,0,0,7.2,0,16.7,130,0,0,0.08,15,0.03,0.91,0.02,0.017,불검출,0,0,0,0,0.001,0.007,0,0,0,0,
2684,2019,6,수자원공사,아산(생활),호소수,한국수자원공사 충북지역협력단,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2.2,적합,적합,0,0,0,7.4,0,14.4,90,0,0,0.06,12,0,0.66,0,0.013,불검출,0.003,0,0.0019,0,0.018,0.004,0,0,0,0,
2685,2019,6,수자원공사,양산,호소수,한국수자원공사 부산울산경남지역협력본부,0,불검출,0,0,0,0,0,0,0,0,0.7,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.2,적합,적합,0,0,0,7.1,0.003,5.8,75,0,0,0.04,3,0.03,0.48,0,0.017,불검출,0.0036,0.0006,0.002,0,0.011,0.006,0,0,0,0,
2686,2019,6,수자원공사,연초,호소수,한국수자원공사 부산울산경남지역협력본부,0,불검출,0,0,0,0,0,0,0,0,0.2,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.4,적합,적합,0.032,0,0,6.8,0.023,15.5,264,0,0,0.03,7,0,0.71,0,0.01,불검출,0.0025,0.0007,0.0009,0,0.005,0.006,0,0,0,0.0016,
2687,2019,6,수자원공사,와부,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2.1,적합,적합,0,0,0,7.1,0.003,16,112,0,0,0.04,13,0.03,0.99,0.02,0.024,불검출,0.0091,0,0.0033,0,0.013,0.008,0,0,0,0,
2688,2019,6,수자원공사,운문,호소수,한국수자원공사 낙동강유역본부,0,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2.6,적합,적합,0,0,0,6.9,0.009,5.9,91,0,0,0.04,6,0,0.73,0,0.017,불검출,0.003,0,0.0018,0,0.014,0.004,0,0,0,0,
2689,2019,6,수자원공사,일산,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,적합,적합,0,0,0,6.8,0,16.2,115,0,0,0.06,14,0.02,0.86,0.01,0.019,불검출,0.0022,0,0.0011,0,0.007,0.008,0,0,0,0,
2690,2019,6,수자원공사,자인,호소수,한국수자원공사 낙동강유역본부,0,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2.6,적합,적합,0,0,0,7,0.004,6.5,78,0,0,0.05,6,0,0.8,0,0.02,불검출,0.0023,0,0.0017,0,0.013,0.005,0,0,0,0,
2691,2019,6,수자원공사,천안,호소수,한국수자원공사 충북지역협력단,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2.5,적합,적합,0,0,0,7.2,0.006,13.7,91,0,0,0.05,12,0,0.71,0,0.016,불검출,0.0022,0,0.0017,0,0.022,0.004,0,0,0,0,
2692,2019,6,수자원공사,청주(생활),호소수,한국수자원공사 충북지역협력단,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2.6,적합,적합,0,0,0,7.3,0,13.4,93,0,0,0.08,12,0.04,0.89,0.01,0.022,불검출,0.0032,0,0.0021,0,0.027,0.005,0,0,0,0,
2693,2019,6,수자원공사,충주,하천수,한국수자원공사 충북지역협력단,0,불검출,0,0,0,0,0,0,0,0,2.1,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1.6,적합,적합,0,0,0,7.7,0,11.8,157,0,0,0.03,15,0.05,0.7,0.01,0.014,불검출,0.002,0,0.0008,0,0.017,0.005,0,0,0,0,
2694,2019,6,수자원공사,평림,호소수,한국수자원공사 영섬유역본부,0,불검출,0,0,0,0,0,0,0,0,0.5,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2.8,적합,적합,0,0,0,7.2,0,13.6,74,0,0,0.03,7,0,0.84,0,0.021,불검출,0.0044,0,0.0028,0,0.014,0.008,0,0,0,0,
2695,2019,6,수자원공사,학야,호소수,한국수자원공사 낙동강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,7,적합,적합,0,1,0,7.2,0.005,11.3,245,0,0,0.08,15,0.04,0.87,0.03,0.042,불검출,0.0036,0,0.0022,0,0.022,0.005,0,0.002,0,0,
2696,2019,6,수자원공사,화성,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,적합,적합,0,0,0,7.2,0,18,129,0,0,0.06,16,0,0.75,0.02,0.011,불검출,0,0,0,0,0,0,0,0,0,0,
2697,2019,6,수자원공사,화순,호소수,한국수자원공사 영섬유역본부,0,불검출,0,0,0,0,0,0,0,0,0.3,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.5,적합,적합,0,0,0,7,0.003,7.7,49,0,0,0.08,5,0,0.71,0,0.018,불검출,0.0031,0,0.0019,0,0.011,0.005,0,0,0,0,
2698,2019,6,수자원공사,황지,호소수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,1.4,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1.3,적합,적합,0,0,0,7,0,12.9,109,0,0,0.06,7,0.03,0.68,0.01,0.017,불검출,0.0052,0,0.0015,0,0.024,0.005,0,0,0,0,
2699,2019,7,서울특별시,강북,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.7,적합,적합,0,0,0,6.9,0,19.9,119,0,0,0.06,11,0.02,0.57,0.01,0.014,불검출,0,0,0,0,0,0.006,0.002,0,0,0,
2700,2019,7,서울특별시,광암,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,적합,적합,0,0,0,7,0.008,24.9,140,0,0,0.05,14,0.02,0.42,0.01,0.013,불검출,0.0006,0.0005,0,0,0.001,0.008,0.004,0,0,0,
2701,2019,7,서울특별시,구의,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0.7,적합,적합,0,0,0,6.9,0,20.7,126,0,0,0.04,11,0.03,0.45,0.01,0.014,불검출,0,0,0,0,0,0.007,0.003,0,0,0,
2702,2019,7,서울특별시,뚝도,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.5,적합,적합,0,0,0,6.9,0.002,22.5,122,0,0,0.06,11,0.02,0.6,0.01,0.021,불검출,0,0,0,0,0,0.009,0.002,0,0,0,
2703,2019,7,서울특별시,암사,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0.8,적합,적합,0,0,0,6.9,0,20.7,121,0,0,0.05,10,0.04,0.56,0.01,0.017,불검출,0,0,0,0,0.001,0.008,0.003,0,0,0,
2704,2019,7,서울특별시,영등포,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.8,적합,적합,0,0,0,7.1,0,23.6,128,0,0,0.06,12,0.04,0.58,0.01,0.019,불검출,0.0007,0,0,0,0.001,0.008,0.003,0,0,0,
2705,2019,7,부산광역시,덕산,하천수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.8,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2,적합,적합,0,0,0,6.9,0,27.2,200,0,0,0.09,44,0,0.7,0.05,0.021,불검출,0.001,0.0008,0,0,0,0.013,0.006,0,0,0,
2706,2019,7,부산광역시,명장,호소수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.8,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2.4,적합,적합,0,0,0,6.8,0,17.8,119,0,0,0.08,18,0,0.47,0.02,0.01,불검출,0.0022,0,0.0008,0,0,0.007,0.004,0,0,0,
2707,2019,7,부산광역시,범어사,호소수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.2,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.2,적합,적합,0,0,0,6.6,0,6.3,33,0,0,0.11,5,0,0.51,0,0.01,불검출,0.0012,0,0.0008,0,0,0.004,0,0,0,0,
2708,2019,7,부산광역시,화명,하천수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.9,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2.4,적합,적합,0,0,0,6.9,0.006,26.6,201,0,0,0.09,45,0,0.65,0.04,0.015,불검출,0.0011,0.0007,0,0,0,0.01,0.006,0,0,0,
2709,2019,7,대구광역시,가창,호소수,대구시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.7,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,적합,적합,0,0,0,7.1,0.002,13,74,0,0,0.06,6,0.04,0.59,0,0.019,불검출,0.0055,0,0.0029,0,0.016,0.006,0,0,0,0,
2710,2019,7,대구광역시,고산,호소수,대구시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3.3,적합,적합,0,0,0,6.9,0.002,9,66,0,0,0.06,9,0,0.51,0,0.011,불검출,0.0056,0,0.0024,0,0.027,0.005,0,0,0,0,
2711,2019,7,대구광역시,매곡,하천수,대구시-상수도사업본부,0,불검출,0,0.2,0,0,0,0,0,0,1.2,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,2.8,적합,적합,0,0,0,7,0,41,192,0,0,0.09,36,0,0.78,0.03,0.01,불검출,0.0007,0.0005,0,0,0.003,0.009,0.006,0.001,0,0,
2712,2019,7,대구광역시,문산,하천수,대구시-상수도사업본부,0,불검출,0,0.23,0,0,0,0,0,0,1.2,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2.7,적합,적합,0,0,0,7,0.006,39,204,0,0,0.07,36,0,0.56,0.02,0.009,불검출,0.0011,0.0009,0,0,0.004,0.009,0.008,0.001,0,0,
2713,2019,7,인천광역시,강화,지하수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2.1,적합,적합,0,0,0,7.1,0,22.7,142,0,0,0.17,11,0.06,0.55,0.01,0.01,불검출,0.0057,0,0.001,0,0.012,0.005,0,0,0,0,0
2714,2019,7,인천광역시,공촌,하천수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1.6,적합,적합,0,0,0,7.2,0.002,22.1,123,0,0,0.13,11,0.06,0.98,0.01,0.007,불검출,0.005,0,0.0032,0,0.01,0.005,0,0,0,0,
2715,2019,7,인천광역시,길상,지하수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0.3,적합,적합,0,0,0,7.7,0.003,19,189,0,0,0.09,11,0,0.74,0,0,불검출,0,0.0017,0,0,0.001,0,0,0,0,0.0027,1.2
2716,2019,7,인천광역시,남동,하천수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1.8,적합,적합,0,0,0,7.4,0,27.6,127,0,0,0.1,19,0.17,0.74,0.02,0.007,불검출,0.0031,0.0018,0.0027,0,0.009,0.006,0,0,0,0,
2717,2019,7,인천광역시,백령,호소수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.2,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3.8,적합,적합,0,0,0,7.4,0,56.5,157,0,0,0.13,23,0,1.1,0.03,0.004,불검출,0.0036,0.0093,0.0033,0,0.013,0.01,0.014,0,0,0.0022,
2718,2019,7,인천광역시,부평,하천수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1.4,적합,적합,0,0,0,7.1,0,20.9,115,0,0,0.1,11,0.04,0.73,0.01,0.011,불검출,0.0012,0,0.0013,0,0.004,0.008,0,0,0,0.0007,
2719,2019,7,인천광역시,수산,하천수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.9,적합,적합,0,0,0,7.4,0,30.3,130,0,0,0.09,20,0.14,0.88,0.02,0.01,불검출,0.0056,0.002,0.0043,0,0.013,0.009,0.003,0,0,0,
2720,2019,7,광주광역시,각화,호소수,광주시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.4,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.4,적합,적합,0,1,0,6.8,0,10.6,49,0,0,0.05,4,0,0.6,0,0.038,불검출,0,0,0.003,0,0.008,0.008,0,0,0,0,
2721,2019,7,광주광역시,덕남,호소수,광주시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.5,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.2,적합,적합,0,1,0,6.7,0,9,49,0,0,0.04,5,0,0.61,0,0.018,불검출,0,0,0.0011,0,0.003,0.007,0,0,0,0,
2722,2019,7,광주광역시,용연,호소수,광주시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.5,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.2,적합,적합,0.009,1,0,6.7,0,9.2,51,0,0.004,0.05,5,0,0.63,0,0.015,불검출,0,0,0.0018,0,0.01,0.006,0,0,0,0,
2723,2019,7,대전광역시,송촌,호소수,대전시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2.3,적합,적합,0,1,0,7,0.003,16.6,94,0,0,0.08,10,0.03,0.65,0,0.025,불검출,0.0065,0,0.0046,0,0.033,0.009,0,0,0,0,
2724,2019,7,대전광역시,신탄진,하천수,대전시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2.2,적합,적합,0,1,0,6.9,0.003,13.8,85,0,0,0.07,10,0,0.62,0,0.026,불검출,0.0058,0,0.0034,0,0.032,0.008,0,0,0,0,
2725,2019,7,대전광역시,월평,호소수,대전시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2.5,적합,적합,0,1,0,6.9,0.003,15.5,92,0,0,0.08,10,0.03,0.59,0,0.034,불검출,0.0066,0,0.0066,0,0.026,0.008,0,0,0,0,
2726,2019,7,울산광역시,천상,호소수,울산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.5,적합,적합,0,0,0,6.9,0,16.2,113,0,0,0.05,9,0,0.53,0.02,0.005,불검출,0.0038,0.0014,0.0013,0,0.007,0.003,0.002,0,0,0.0008,
2727,2019,7,울산광역시,회야,호소수,울산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1.3,적합,적합,0,0,0,7,0,35.9,201,0,0,0.08,43,0,0.71,0.03,0.002,불검출,0.0023,0.0034,0.011,0,0.008,0.006,0.009,0,0,0.0006,
2728,2019,7,경기도 수원시,광교,호소수,수원시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1.8,적합,적합,0,0,0,7.2,0.002,24,118,0,0,0.06,16,0.03,0.7,0.01,0.015,불검출,0.0024,0.0045,0.0005,0,0.017,0.009,0.005,0,0,0.0005,
2729,2019,7,경기도 수원시,파장,호소수,수원시상수도사업소,0,불검출,0,0,0,0,0,0,0,0.02,1.2,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1.7,적합,적합,0,0,0,7.2,0.003,24.3,117,0,0,0.06,15,0.07,0.79,0.01,0.033,불검출,0.0025,0.0088,0.0007,0,0.032,0.01,0.003,0,0,0.0007,
2730,2019,7,경기도 성남시,복정3,하천수,성남시 맑은물 관리사업소,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.8,적합,적합,0,0,0,7.1,0,20,87,0,0,0.07,12,0,0.64,0,0.012,불검출,0.0013,0.0023,0.0016,0,0.001,0.006,0,0,0,0,
2731,2019,7,경기도 의정부시,가능,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0.9,적합,적합,0,0,0,7.1,0.016,9.8,75,0,0,0.1,5,0,0.51,0,0.014,불검출,0.0072,0,0.0016,0,0.018,0.007,0.011,0,0,0,
2732,2019,7,경기도 안양시,비산정수장,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2.6,적합,적합,0,1,0,7.3,0,18.3,110,0,0,0.06,14,0.04,0.82,0.01,0.013,불검출,0.0013,0,0.0015,0,0.006,0.01,0,0,0,0,
2733,2019,7,경기도 안양시,청계통합,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2.3,적합,적합,0,1,0,7.3,0,26.8,138,0,0,0.07,18,0.04,0.78,0.02,0.015,불검출,0.0016,0,0.0015,0,0.007,0.009,0.007,0,0,0,
2734,2019,7,경기도 안양시,포일,호소수,경기-보건환경연구원,0,불검출,0,0,0,0,0,0,0,0,1.2,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2.3,적합,적합,0,1,0,7.1,0.002,22.3,116,0,0,0.06,14,0.02,0.78,0.01,0.009,불검출,0.0008,0,0.0012,0,0.006,0.008,0,0,0,0,
2735,2019,7,경기도 부천시,까치울,호소수,부천시먹는물검사기관,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4,적합,적합,0,0,0,7.3,0,27,78,0,0,0.05,18,0.14,0.67,0.02,0.021,불검출,0,0.0014,0,0,0.028,0.011,0.004,0,0,0,
2736,2019,7,경기도 광명시,노온,호소수,부천시먹는물검사기관,0,불검출,0,0,0,0,0,0,0,0,1,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2.8,적합,적합,0,0,0,7.2,0.004,20.8,89,0,0,0.08,14,0.08,0.78,0.01,0.018,불검출,0,0.0013,0,0,0.016,0.008,0.002,0,0,0,
2737,2019,7,경기도 평택시,송탄,복류수,(주)피엘아이환경기술연구원,0,불검출,0,0.19,0,0,0,0,0,0,0.9,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0.8,적합,적합,0,0,0,7.1,0,4.8,206,0,0,0.06,21,0,0.57,0.02,0.04,불검출,0.0042,0.0007,0.0015,0,0.028,0.025,0.01,0,0,0,
2738,2019,7,경기도 평택시,유천,복류수,(주)피엘아이환경기술연구원,0,불검출,0,0.19,0,0,0,0,0,0,1.1,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0.8,적합,적합,0,0,0,6.8,0.004,95.6,280,0,0.004,0.06,44,0,0.7,0.04,0.055,불검출,0.0036,0.0011,0.0031,0.0006,0.026,0.025,0.009,0,0,0,
2739,2019,7,경기도 동두천시,동두천,하천수,한국수자원공사 한강유역본부,0,불검출,0,0,0,0,0,0,0,0,0.2,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,적합,적합,0,0,0,7.1,0,9,102,0,0,0.04,8,0.08,0.91,0,0.026,불검출,0.0066,0,0.0034,0,0.019,0.007,0,0,0,0,
2740,2019,7,경기도 안산시,안산,호소수,안산시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.5,적합,적합,0,1,0,7.4,0,26,214,0,0,0.02,16,0.11,0.64,0.01,0.035,불검출,0.0065,0.0005,0.002,0,0.016,0.011,0.003,0,0,0.0005,
2741,2019,7,경기도 안산시,연성,호소수,안산시상수도사업소,0,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0.6,적합,적합,0,0,0,7.6,0,27.7,240,0,0,0.04,19,0.14,0.86,0.02,0.04,불검출,0.0086,0.0006,0.0018,0,0.018,0.012,0.004,0,0,0,
2742,2019,7,경기도 과천시,과천시맑은물사업소,호소수,(주)피엘아이환경기술연구원,0,불검출,0,0,0,0,0,0,0,0,1.7,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,적합,적합,0,1,0,7.3,0,19,76,0,0,0.04,13,0,0.63,0,0.051,불검출,0.0053,0.0011,0.0036,0,0.025,0.011,0,0,0,0,0
2743,2019,7,경기도 구리시,토평,하천수,(주)혜성환경,0,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,적합,적합,0,1,0,7.9,0.003,17.6,184,0,0,0.15,8,0.08,0.74,0,0.025,불검출,0.0007,0,0,0,0,0.005,0.001,0,0,0,
